source_object,fields,field_name,uuid_alias_foreign_key,date_format,field_data_type,is_priority,secondary_date_sort_field,date_timezone,is_date,uuid_lookup_field_object,name,s3_path,source_namespace,is_primary_modified_date,pensieve_name,description,is_primary_id,uuid_lookup_exists_required,checksum_ignore,uuid_alias_field_name,priority_rank,query,uuid_lookup_field_namespace,deleted_marker,uuid_lookup_field_name
ORA_Project__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
ORA_Project__c,,LastModifiedById,,,String,,,,,user,,,Salesforce,,last_modified_by_id,,,True,True,,,,Salesforce,,Id
ORA_Project__c,,SystemModstamp,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,systemmodstamp_datetime,,,,True,,,,,,
ORA_Project__c,,LastViewedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,Date,,,,True,,,,Salesforce,,last_viewed_date,,,,True,,,,,,
ORA_Project__c,,LastReferencedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,Date,,,,True,,,,Salesforce,,last_referenced_date,,,,True,,,,,,
ORA_Project__c,,CIFA_Project_ID__c,,,Integer,,,,,,,,Salesforce,,cifa_project_id,,,,,,,,,,
ORA_Project__c,,Tier_Classification__c,,,String,,,,,,,,Salesforce,,tier_classification,,,,,,,,,,
ORA_Project__c,,Proactive__c,,,String,,,,,,,,Salesforce,,proactive,,,,,,,,,,
ORA_Project__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
date_dimension,,CALENDAR_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,CALENDAR_DATE,,True,,,,,,,,
date_dimension,,CALENDAR_DAY_LONG_NAME,,,String,,,,,,,,csv_upload,,CALENDAR_DAY_LONG_NAME,,,,,,,,,,
date_dimension,,CALENDAR_DAY_SHORT_NAME,,,String,,,,,,,,csv_upload,,CALENDAR_DAY_SHORT_NAME,,,,,,,,,,
date_dimension,,CALENDAR_DAY_OF_WEEK_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_DAY_OF_WEEK_NUM,,,,,,,,,,
date_dimension,,CALENDAR_DAY_OF_MONTH_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_DAY_OF_MONTH_NUM,,,,,,,,,,
date_dimension,,CALENDAR_DAY_OF_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_DAY_OF_YEAR_NUM,,,,,,,,,True,
date_dimension,,CALENDAR_DAY_OF_CALENDAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_DAY_OF_CALENDAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_END_IND,,,String,,,,,,,,csv_upload,,CALENDAR_MONTH_END_IND,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_YEAR_TXT,,,String,,,,,,,,csv_upload,,CALENDAR_MONTH_YEAR_TXT,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_LONG_NAME,,,String,,,,,,,,csv_upload,,CALENDAR_MONTH_LONG_NAME,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_SHORT_NAME,,,String,,,,,,,,csv_upload,,CALENDAR_MONTH_SHORT_NAME,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_OF_QUARTER_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_MONTH_OF_QUARTER_NUM,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_OF_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_MONTH_OF_YEAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_MONTH_OF_CALENDAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_MONTH_OF_CALENDAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_QUARTER_OF_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_QUARTER_OF_YEAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_QUARTER_OF_CALENDAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_QUARTER_OF_CALENDAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_WEEKDAY_OF_MONTH_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_WEEKDAY_OF_MONTH_NUM,,,,,,,,,,
date_dimension,,CALENDAR_WEEK_OF_MONTH_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_WEEK_OF_MONTH_NUM,,,,,,,,,,
date_dimension,,CALENDAR_WEEK_OF_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_WEEK_OF_YEAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_WEEK_OF_CALENDAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_WEEK_OF_CALENDAR_NUM,,,,,,,,,,
date_dimension,,CALENDAR_YEAR_OF_CALENDAR_NUM,,,Integer,,,,,,,,csv_upload,,CALENDAR_YEAR_OF_CALENDAR_NUM,,,,,,,,,,
date_dimension,,FISCAL_CALENDAR_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,FISCAL_CALENDAR_DATE,,,,,,,,,,
date_dimension,,FISCAL_MONTH_END_IND,,,String,,,,,,,,csv_upload,,FISCAL_MONTH_END_IND,,,,,,,,,,
date_dimension,,FISCAL_MONTH_END_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,FISCAL_MONTH_END_DATE,,,,,,,,,,
date_dimension,,FISCAL_MONTH_LONG_NAME,,,String,,,,,,,,csv_upload,,FISCAL_MONTH_LONG_NAME,,,,,,,,,,
date_dimension,,FISCAL_MONTH_SHORT_NAME,,,String,,,,,,,,csv_upload,,FISCAL_MONTH_SHORT_NAME,,,,,,,,,,
date_dimension,,FISCAL_MONTH_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_MONTH_NUM,,,,,,,,,,
date_dimension,,FISCAL_MONTH_WEEK_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_MONTH_WEEK_NUM,,,,,,,,,,
date_dimension,,FISCAL_QUARTER_END_IND,,,String,,,,,,,,csv_upload,,FISCAL_QUARTER_END_IND,,,,,,,,,,
date_dimension,,FISCAL_QUARTER_LONG_NAME,,,String,,,,,,,,csv_upload,,FISCAL_QUARTER_LONG_NAME,,,,,,,,,,
date_dimension,,FISCAL_QUARTER_SHORT_NAME,,,String,,,,,,,,csv_upload,,FISCAL_QUARTER_SHORT_NAME,,,,,,,,,,
date_dimension,,FISCAL_QUARTER_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_QUARTER_NUM,,,,,,,,,,
date_dimension,,FISCAL_WEEK_END_IND,,,String,,,,,,,,csv_upload,,FISCAL_WEEK_END_IND,,,,,,,,,,
date_dimension,,FISCAL_WEEK_END_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,FISCAL_WEEK_END_DATE,,,,,,,,,,
date_dimension,,FISCAL_YEAR_END_IND,,,String,,,,,,,,csv_upload,,FISCAL_YEAR_END_IND,,,,,,,,,,
date_dimension,,FISCAL_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_YEAR_NUM,,,,,,,,,,
date_dimension,,FISCAL_YEAR_DAY_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_YEAR_DAY_NUM,,,,,,,,,,
date_dimension,,FISCAL_YEAR_WEEK_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_YEAR_WEEK_NUM,,,,,,,,,,
date_dimension,,PRIOR_YEAR_SAME_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,PRIOR_YEAR_SAME_DATE,,,,,,,,,,
date_dimension,,PRIOR_YEAR_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,PRIOR_YEAR_DATE,,,,,,,,,,
date_dimension,,RELATIVE_CALENDAR_DAY_NUM,,,Integer,,,,,,,,csv_upload,,RELATIVE_CALENDAR_DAY_NUM,,,,,,,,,,
date_dimension,,RELATIVE_FISCAL_MONTH_NUM,,,Integer,,,,,,,,csv_upload,,RELATIVE_FISCAL_MONTH_NUM,,,,,,,,,,
date_dimension,,RELATIVE_FISCAL_YEAR_NUM,,,Integer,,,,,,,,csv_upload,,RELATIVE_FISCAL_YEAR_NUM,,,,,,,,,,
date_dimension,,LEAP_YEAR_IND,,,String,,,,,,,,csv_upload,,LEAP_YEAR_IND,,,,,,,,,,
date_dimension,,MERGE_TRANSFER_IND,,,String,,,,,,,,csv_upload,,MERGE_TRANSFER_IND,,,,,,,,,,
date_dimension,,FISCAL_WEEK_DAY_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_WEEK_DAY_NUM,,,,,,,,,,
date_dimension,,FISCAL_MONTH_DAY_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_MONTH_DAY_NUM,,,,,,,,,,
date_dimension,,FISCAL_QUARTER_DAY_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_QUARTER_DAY_NUM,,,,,,,,,,
date_dimension,,FISCAL_MONTH_SEQ_NUM,,,Integer,,,,,,,,csv_upload,,FISCAL_MONTH_SEQ_NUM,,,,,,,,,,
date_dimension,,FISCAL_YEAR_END_DATE,,M/d/yyyy,Date,,,America/New_York,True,,,,csv_upload,,FISCAL_YEAR_END_DATE,,,,,,,,,,
date_dimension,,DAY_LIGHT_SAVINGS,,,String,,,,,,,,csv_upload,,DAY_LIGHT_SAVINGS,,,,,,,,,,
date_dimension,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,csv_upload,True,LastModifiedDate,,,,,,,,,,
Invoice__c,,Id,,,String,,,,,,,,Salesforce,,invoice_id,Primary Key in Salesforce,True,,,,,,,,
Invoice__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Invoice__c,,Business_Partner__c,,,String,,,,,,,,Salesforce,,business_partner_id,Business partner salesforce id,,,,,,,,,
Invoice__c,,CIFA_Status__c,,,String,,,,,,,,Salesforce,,CIFA_invoice_status,,,,,,,,,True,
Invoice__c,,Invoice_Date__c,,yyyy-MM-dd,Date,,,,True,,,,Salesforce,,created_date,,,,,,,,,,
Invoice__c,,Invoice_Paid_Date__c,,yyyy-MM-dd,Date,,,,True,,,,Salesforce,,invoice_paid_date,,,,,,,,,,
Invoice__c,,Scheduled_To_Pay_Date__c,,yyyy-MM-dd,Date,,,,True,,,,Salesforce,,scheduled_to_pay_date,,,,,,,,,,
Invoice__c,,Status__c,,,String,,,,,,,,Salesforce,,P2_invoice_status,P2 invoice status,,,,,,,,,
Invoice__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Hub_Sites__c,,Id,,,String,,,,,,,,Salesforce,,hub_sites_id,,True,,,,,,,,
Hub_Sites__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Hub_Sites__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Polaris_Project__c,,CreatedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,created_datetime,,,,,,,,,,
Polaris_Project__c,,Id,,,String,,,,,,,,Salesforce,,project_id,,True,,,,,,,,
Polaris_Project__c,,IsDeleted,,,Boolean,,,,,,,,Salesforce,,is_deleted,,,,,,,,,,
Polaris_Project__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Polaris_Project__c,,SystemModstamp,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,systemmodstamp_datetime,,,,True,,,,,,
Polaris_Project__c,,Actual_Commercial_Passings__c,,,Integer,,,,,,,,Salesforce,,actual_commercial_passings,,,,,,,,,,
Polaris_Project__c,,Actual_MDU_Passings__c,,,Integer,,,,,,,,Salesforce,,actual_multiple_dwelling_unit_passings,,,,,,,,,,
Polaris_Project__c,,Actual_Residential_Passings__c,,,Integer,,,,,,,,Salesforce,,actual_residential_passings,,,,,,,,,,
Polaris_Project__c,,Actual_Total_Passings__c,,,Integer,,,,,,,,Salesforce,,actual_total_passings,,,,,,,,,,
Polaris_Project__c,,As_Built_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,as_built_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,Average_Permitting_Fees_Pole__c,,,Integer,,,,,,,,Salesforce,,average_permitting_fees_pole,,,,,,,,,,
Polaris_Project__c,,CIFA_Project__c,,,String,,,,,ora_project,,,Salesforce,,cifa_project,,,,,,,,Salesforce,,Id
Polaris_Project__c,,CIFA_Project_Number__c,,,String,,,,,,,,Salesforce,,cifa_project_number,,,,,,,,,,
Polaris_Project__c,,Completion_Ariel_Coax_Feet__c,,,Float,,,,,,,,Salesforce,,completion_ariel_coax_feet,,,,,,,,,,
Polaris_Project__c,,Completion_Ariel_Fiber_Feet__c,,,Float,,,,,,,,Salesforce,,completion_ariel_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Completion_Total_Feet__c,,,Float,,,,,,,,Salesforce,,completion_total_feet,,,,,,,,,,
Polaris_Project__c,,Completion_Underground_Coax_Feet__c,,,Float,,,,,,,,Salesforce,,completion_underground_coax_feet,,,,,,,,,,
Polaris_Project__c,,Completion_Underground_Fiber_Feet__c,,,Float,,,,,,,,Salesforce,,completion_underground_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Construction_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,construction_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,CreatedById,,,String,,,,,user,,,Salesforce,,created_by_id,,,True,,,,,Salesforce,,Id
Polaris_Project__c,,Design_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,design_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,Designed_Commercial_Passings__c,,,Integer,,,,,,,,Salesforce,,designed_commercial_passings,,,,,,,,,,
Polaris_Project__c,,Designed_MDU_Passings__c,,,Integer,,,,,,,,Salesforce,,designed_mdu_passings,,,,,,,,,,
Polaris_Project__c,,Designed_Residential_Passings__c,,,Integer,,,,,,,,Salesforce,,designed_residential_passings,,,,,,,,,,
Polaris_Project__c,,Designed_Total_Passings__c,,,Integer,,,,,,,,Salesforce,,designed_total_passings,,,,,,,,,,
Polaris_Project__c,,Division__c,,,String,,,,,,,,Salesforce,,division,,,,,,,,,,
Polaris_Project__c,,Estimated_Project_Completion_Date__c,,yyyy-MM-dd,Date,,,,True,,,,Salesforce,,estimated_project_completion_date,,,,,,,,,,
Polaris_Project__c,,External_ID__c,,,String,,,,,,,,Salesforce,,external_id,,,,,,,,,,
Polaris_Project__c,,Greenfield__c,,,String,,,,,,,,Salesforce,,greenfield,,,,,,,,,,
Polaris_Project__c,,Installed_Ariel_Coax_Feet__c,,,Integer,,,,,,,,Salesforce,,installed_ariel_coax_feet,,,,,,,,,,
Polaris_Project__c,,Installed_Ariel_Fiber_Feet__c,,,Integer,,,,,,,,Salesforce,,installed_ariel_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Installed_Total_Feet__c,,,Integer,,,,,,,,Salesforce,,installed_total_feet,,,,,,,,,,
Polaris_Project__c,,Installed_Underground_Coax_Feet__c,,,Integer,,,,,,,,Salesforce,,installed_underground_coax_feet,,,,,,,,,,
Polaris_Project__c,,Installed_Underground_Fiber_Feet__c,,,Integer,,,,,,,,Salesforce,,installed_underground_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Job_Type__c,,,String,,,,,,,,Salesforce,,job_type,,,,,,,,,,
Polaris_Project__c,,LastModifiedById,,,String,,,,,user,,,Salesforce,,last_modified_by_id,,,True,True,,,,Salesforce,,Id
Polaris_Project__c,,Market__c,,,String,,,,,,,,Salesforce,,market,,,,,,,,,,
Polaris_Project__c,,Name,,,String,,,,,,,,Salesforce,,canonical_project_id,,,,,Id,,,,True,
Polaris_Project__c,,No_of_Poles_requiring_Make_Ready__c,,,Integer,,,,,,,,Salesforce,,no_of_poles_requiring_make_ready,,,,,,,,,,
Polaris_Project__c,,of_Poles_requiring_Make_Ready__c,,,Float,,,,,,,,Salesforce,,of_poles_requiring_make_ready,,,,,,,,,,
Polaris_Project__c,,Owner__c,,,String,,,,,,,,Salesforce,,owner,,,,,,,,,,
Polaris_Project__c,,OwnerId,,,String,,,,,,,,Salesforce,,owner_id,,,,,,,,,,
Polaris_Project__c,,P2_Project_ID__c,,,String,,,,,,,,Salesforce,,p2_project_id,,,,,,,,,,
Polaris_Project__c,,Permitting_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,permitting_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,Planned_Ariel_Coax_Feet__c,,,Integer,,,,,,,,Salesforce,,planned_ariel_coax_feet,,,,,,,,,,
Polaris_Project__c,,Planned_Ariel_Fiber_Feet__c,,,Integer,,,,,,,,Salesforce,,planned_ariel_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Planned_Commercial_Passings__c,,,Integer,,,,,,,,Salesforce,,planned_commercial_passings,,,,,,,,,,
Polaris_Project__c,,Planned_MDU_Passings__c,,,Integer,,,,,,,,Salesforce,,planned_mdu_passings,,,,,,,,,,
Polaris_Project__c,,Planned_Residential_Passings__c,,,Integer,,,,,,,,Salesforce,,planned_residential_passings,,,,,,,,,,
Polaris_Project__c,,Planned_Total_Feet__c,,,Integer,,,,,,,,Salesforce,,planned_total_feet,,,,,,,,,,
Polaris_Project__c,,Planned_Total_Passings__c,,,Integer,,,,,,,,Salesforce,,planned_total_passings,,,,,,,,,,
Polaris_Project__c,,Planned_Underground_Coax_Feet__c,,,Integer,,,,,,,,Salesforce,,planned_underground_coax_feet,,,,,,,,,,
Polaris_Project__c,,Planned_Underground_Fiber_Feet__c,,,Integer,,,,,,,,Salesforce,,planned_underground_fiber_feet,,,,,,,,,,
Polaris_Project__c,,Project_Budget__c,,,Float,,,,,,,,Salesforce,,project_budget,,,,,,,,,,
Polaris_Project__c,,Project_Description__c,,,String,,,,,,,,Salesforce,,project_description,,,,,,,,,,
Polaris_Project__c,,QC_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,qc_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,RecordTypeId,,,String,,,,,,,,Salesforce,,record_type_id,,,,,,,,,,
Polaris_Project__c,,Region__c,,,String,,,,,,,,Salesforce,,region,,,,,,,,,,
Polaris_Project__c,,ROE_Available_Threshold__c,,,Integer,,,,,,,,Salesforce,,roe_available_threshold,,,,,,,,,,
Polaris_Project__c,,ROE_Gate_Met__c,,,String,,,,,,,,Salesforce,,roe_gate_met,,,,,,,,,,
Polaris_Project__c,,Status__c,,,String,,,,,,,,Salesforce,,status,,,,,,,,,,
Polaris_Project__c,,Survey_Business_Partner__c,,,String,,,,,vendor,,,Salesforce,,survey_business_partner_id,,,,,,,,Salesforce,,Id
Polaris_Project__c,,to_Budget__c,,,Float,,,,,,,,Salesforce,,to_budget,,,,,,,,,,
Polaris_Project__c,,Total_Approved_Invoiced_Amount__c,,,Float,,,,,,,,Salesforce,,total_approved_invoiced_amount,,,,,,,,,,
Polaris_Project__c,,Total_Inspection_Fee__c,,,Float,,,,,,,,Salesforce,,total_inspection_fee,,,,,,,,,,
Polaris_Project__c,,Total_Jobs__c,,,Integer,,,,,,,,Salesforce,,total_jobs,,,,,,,,,,
Polaris_Project__c,,Total_Make_Ready_Fee__c,,,Float,,,,,,,,Salesforce,,total_make_ready_fee,,,,,,,,,,
Polaris_Project__c,,Total_Permit_Fee__c,,,Float,,,,,,,,Salesforce,,total_permit_fee,,,,,,,,,,
Polaris_Project__c,,Total_Pole_Permitting_Fee__c,,,Integer,,,,,,,,Salesforce,,total_pole_permitting_fee,,,,,,,,,,
Polaris_Project__c,,Total_Poles__c,,,Integer,,,,,,,,Salesforce,,total_poles,,,,,,,,,,
Polaris_Project__c,,Total_Project_Estimate__c,,,Float,,,,,,,,Salesforce,,total_project_estimate,,,,,,,,,,
Polaris_Project__c,,Warehouse__c,,,String,,,,,ora_warehouse,,,Salesforce,,warehouse,,,,,,,,Salesforce,,Id
Polaris_Project__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Hub_Sites__c,,Id,,,String,,,,,,,,Salesforce,,hub_sites_id,,True,,,,,,,,
Hub_Sites__c,,OwnerId,,,String,,,,,user,,,Salesforce,,owner_id,,,True,,,,,Salesforce,,Id
Hub_Sites__c,,IsDeleted,,,Boolean,,,,,,,,Salesforce,,is_deleted,,,,,,,,,,
Hub_Sites__c,,Name,,,String,,,,,,,,Salesforce,,canonical_hub_site_id,,,,,Id,,,,True,
Hub_Sites__c,,CreatedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,created_datetime,,,,,,,,,,
Hub_Sites__c,,CreatedById,,,String,,,,,user,,,Salesforce,,created_by_id,,,True,,,,,Salesforce,,Id
Hub_Sites__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Hub_Sites__c,,LastModifiedById,,,String,,,,,user,,,Salesforce,,last_modified_by_id,,,True,True,,,,Salesforce,,Id
Hub_Sites__c,,SystemModstamp,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,,systemmodstamp_datetime,,,,True,,,,,,
Hub_Sites__c,,LastActivityDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,Date,,,,True,,,,Salesforce,,last_activity_date,,,,True,,,,,,
Hub_Sites__c,,LastViewedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,Date,,,,True,,,,Salesforce,,last_viewed_date,,,,True,,,,,,
Hub_Sites__c,,LastReferencedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,Date,,,,True,,,,Salesforce,,last_referenced_date,,,,True,,,,,,
Hub_Sites__c,,CIFA_Project__c,,,String,,,,,ora_project,,,Salesforce,,cifa_project_id,,,,,,,,Salesforce,,Id
Hub_Sites__c,,Comments__c,,,String,,,,,,,,Salesforce,,comments,,,,,,,,,,
Hub_Sites__c,,DMA_Market__c,,,String,,,,,,,,Salesforce,,dma_market,,,,,,,,,,
Hub_Sites__c,,Proactive__c,,,String,,,,,,,,Salesforce,,proactive,,,,,,,,,,
Hub_Sites__c,,Tier_Classification__c,,,String,,,,,,,,Salesforce,,tier_classification,,,,,,,,,,
Hub_Sites__c,,Hub_Code__c,,,String,,,,,,,,Salesforce,,hub_code,,,,,,,,,,
Hub_Sites__c,,Node_Type__c,,,String,,,,,,,,Salesforce,,node_type,,,,,,,,,,
Hub_Sites__c,,Site_Id__c,,,Integer,,,,,,,,Salesforce,,site_id,,,,,,,,,,
Hub_Sites__c,,DMA_Short_Name__c,,,String,,,,,,,,Salesforce,,dma_short_name,,,,,,,,,,
Hub_Sites__c,,DMA_Enabled__c,,,String,,,,,,,,Salesforce,,dma_enabled,,,,,,,,,,
Hub_Sites__c,,DMA_Enabled_Date__c,,yyyy-MM-dd,Date,,,,True,,,,Salesforce,,dma_enabled_date,,,,,,,,,,
Hub_Sites__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Child_Node__c,,Id,,,String,,,,,,,,Salesforce,,child_node_id,,True,,,,,,,,
Child_Node__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Child_Node__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
Footage_Passings_Detail__c,,Id,,,String,,,,,,,,Salesforce,,footage_passings_detail_id,,True,,,,,,,,
Footage_Passings_Detail__c,,LastModifiedDate,,yyyy-MM-dd'T'HH:mm:ss.SSSZ,DateTime,,,,True,,,,Salesforce,True,last_modified_datetime,,,,True,,,,,,
Footage_Passings_Detail__c,,kafka_timestamp,,,Long,,True,,,,,,Salesforce,,data_warehouse_delivery_datetime,,,,True,,,,,,
